账号	交易时间	存取标志	交易金额	
100001	2021/04/21_09:54:33	W	2	
100001	2021/04/21_09:52:08	D	10	
100002	2021/04/21_09:54:41	W	10	
100002	2021/04/21_09:52:20	D	20	
100003	2021/04/21_09:54:54	W	12	
100003	2021/04/21_09:52:29	D	53	
100004	2021/04/21_09:55:03	W	20	
100004	2021/04/21_09:52:39	D	123	
100005	2021/04/21_09:55:28	W	4	
100005	2021/04/21_09:55:15	W	15	
100005	2021/04/21_09:53:05	D	120	
100005	2021/04/21_10:17:08	W	20	
100006	2021/04/21_09:56:03	W	20	
100006	2021/04/21_09:53:12	D	26	
100007	2021/04/21_09:56:17	W	2	
100007	2021/04/21_09:53:22	D	160	
100008	2021/04/21_09:56:25	W	100	
100008	2021/04/21_09:53:28	D	168	
100009	2021/04/21_09:56:32	W	120	
100009	2021/04/21_09:53:41	D	129	
100009	2021/04/21_10:16:48	D	125	
100010	2021/04/21_09:56:40	W	60	
100010	2021/04/21_09:54:01	D	360	
100011	2021/04/21_09:56:49	W	200	
100011	2021/04/21_09:54:19	D	300	
